sample1,,
Wavelength (nm),Abs,
899.9957886,0.03348613903,
894.9515991,0.03267561272,
890.0282593,0.0340631865,
884.9595337,0.03194546327,
880.0124512,0.03444465995,
875.0536499,0.03493067622,
869.9489136,0.03562863171,
864.9667969,0.03332911059,
859.9732666,0.0383875519,
854.9684448,0.03487577662,
849.9522705,0.03669951484,
845.0609741,0.03872286156,
840.0227661,0.03809593245,
834.9734497,0.03798785433,
830.0500488,0.04011700675,
824.9790649,0.03958647698,
820.034729,0.03906268254,
814.9423218,0.03957082331,
809.9772339,0.04162682593,
805.0020142,0.04275555164,
800.0167847,0.04555374011,
795.0215454,0.0459511131,
790.0163574,0.04870507866,
785.0012817,0.04824688658,
779.9763794,0.04949647188,
774.9417725,0.05269194022,
770.0377197,0.05606371909,
764.9840698,0.05658157542,
760.0616455,0.05915939063,
754.9891968,0.0616087839,
750.048645,0.06570582092,
744.9576416,0.06970942765,
739.9991455,0.07373746485,
735.0319214,0.08101084083,
730.0560303,0.08643627912,
724.9289551,0.09450961649,
719.9356079,0.1062590405,
714.9337158,0.1166885942,
710.0667114,0.1293438822,
705.0482788,0.1457461417,
700.0215454,0.1629926413,
694.9865112,0.1829644889,
689.9432373,0.2040890902,
685.0363159,0.2260486484,
679.9770508,0.2448939234,
675.0546875,0.2602799833,
669.9796753,0.2753000259,
665.0420532,0.2870416045,
659.9514771,0.3019529879,
654.9989014,0.319217205,
650.0390625,0.3406883776,
645.0718994,0.3710591495,
639.9511719,0.4078614712,
634.9695435,0.4439098835,
629.9807739,0.4819462597,
624.9850464,0.5155558586,
619.9822998,0.5369343758,
614.9726563,0.5448060036,
609.9561768,0.538412571,
604.9328613,0.5163750052,
600.0509033,0.4809221029,
595.0144043,0.4370094836,
589.9712524,0.3952301145,
585.0701294,0.3509055376,
580.0140381,0.3052073717,
574.9515381,0.2623192668,
570.0317993,0.2262839973,
564.956665,0.1896870881,
560.0248413,0.1587835997,
554.9373779,0.1323866099,
549.9936523,0.111593917,
545.0441284,0.09646024555,
539.9386597,0.08375040442,
534.9776001,0.0743104443,
530.0108643,0.06651932746,
525.0386353,0.05982564017,
520.0608521,0.05498801917,
514.9265137,0.05138467997,
509.9377441,0.04912013188,
504.943573,0.04632218182,
499.9441223,0.04546779022,
494.9393921,0.04355313629,
489.9295044,0.04311966524,
485.0664978,0.04220775142,
480.0465088,0.04172854498,
475.0214539,0.0419515036,
469.9914551,0.04141701758,
464.9564819,0.04201611504,
460.069458,0.04249503836,
455.0249329,0.04295591637,
449.9756165,0.04409392178,
445.0748291,0.04597275332,
440.0162659,0.04861274362,
434.9530945,0.05074971914,
430.0389709,0.05335939676,
424.9668579,0.05591168255,
420.0441895,0.05882286653,
414.9633179,0.06308992952,
410.0322571,0.06885458529,
404.9428711,0.07716992497,
400.0036316,0.08727035671,
395.0604553,0.1008034423,
389.9587097,0.1194919422,
385.0076599,0.1419151872,
380.0527954,0.1704951674,
374.9391785,0.2073469013,
369.9767456,0.2444507927,
365.0106506,0.2903826833,
360.0409851,0.3376181424,
355.0677185,0.387022078,
349.9353943,0.4372353256,
344.9550781,0.4818612337,
339.9713745,0.5199708343,
334.9842834,0.5454449654,
329.9938965,0.5493141413,
325.0002441,0.5268580317,
320.0033875,0.4877691269,
315.0033875,0.4494712353,
310.0002441,0.4402593672,
304.9940796,0.419529438,
299.9848633,0.3635073006,
294.9727173,0.330201149,
289.9576416,0.3332882226,
284.9396973,0.3433443308,
280.0758667,0.3542826176,
275.0524292,0.3819708526,
270.0262756,0.4122518599,
264.997467,0.4360752404,
259.9660339,0.4566881359,
254.9320374,0.4734400213,
250.0529327,0.4838670492,
245.0437622,0.496350497,
240.0325012,0.5303069353,
235.0188751,0.5915038586,
230.0029449,0.6734064221,
224.9847565,0.7468687892,
219.9643555,0.7977790833,
214.941803,0.8031233549,
210.0742035,0.755441308,
205.0475464,0.6903881431,
200.0188751,0.6591586471,

sample1,
sample1
Collection Time: 1/15/2014 4:59:54 PM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 50
Instrument Version                3.00
Start (nm)                        900.0
Stop (nm)                         200.0
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         24000.000
UV-Vis Data Interval (nm)         5.00
UV-Vis Ave. Time (sec)            0.0125
Beam Mode                         Dual Beam
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : Default
Date/Time stamp: 1/15/2014 4:57:08 PM
Method Modifications:
Cell Changer 6x6 Changed: 1/15/2014 4:57:45 PM, Old:1, New:0
UVVIS SAT Changed: 1/15/2014 4:57:46 PM, Old:0.1000, New:0.0125
NIR SAT Changed: 1/15/2014 4:57:46 PM, Old:0.1000, New:0.0125
Common SAT Changed: 1/15/2014 4:57:46 PM, Old:0.1000, New:0.0125
Baseline Correction Changed: 1/15/2014 4:57:52 PM, Old:0, New:1
Temp Controller Changed: 1/15/2014 4:57:52 PM, Old:0, New:2
Sipper Type Changed: 1/15/2014 4:57:52 PM, Old:Internal RSA, New:External sipper
End Method Modifications
<Current Wavelength> , 225.0

